District,Year,Season,Unemployment_Rate,Average_Income,Education_Level,Population_Density,Police_Presence,Crime_Rate
District_12,2020,Winter,12.76,44562.0,10.3,4841.0,High,42.55
District_8,2019,Summer,10.34,43756.0,15.7,4262.0,High,38.53
District_11,2014,Winter,12.35,77254.0,14.6,1452.0,High,18.31
District_19,2020,Fall,11.63,75001.0,9.7,1786.0,Low,46.29
District_17,2020,Winter,8.96,33996.0,12.4,4418.0,High,28.51
District_8,2014,Spring,3.49,66848.0,9.4,4502.0,Low,35.63
District_3,2022,Summer,10.01,57362.0,16.6,3383.0,High,40.34
District_3,2019,Summer,3.58,29253.0,9.1,1911.0,Low,33.97
District_1,2015,Winter,10.24,41406.0,14.5,1508.0,Low,40.52
District_5,2018,Fall,12.6,30648.0,14.1,4335.0,High,55.91
District_10,2024,Summer,10.02,37709.0,12.7,1424.0,High,30.01
District_7,2017,Spring,14.96,56918.0,10.8,3478.0,Low,69.29
District_9,2020,Spring,8.47,42516.0,12.0,4856.0,High,44.12
District_7,2021,Summer,11.99,43644.0,16.1,3674.0,High,48.84
District_9,2024,Fall,11.01,52379.0,15.6,1660.0,Low,51.33
District_8,2024,Fall,14.9,25233.0,15.4,1771.0,High,48.92
District_12,2014,Winter,11.56,64328.0,15.5,918.0,Low,29.6
District_2,2018,Winter,4.97,44103.0,9.4,3588.0,High,16.67
District_1,2016,Summer,14.47,48824.0,9.0,2833.0,High,57.76
District_16,2014,Winter,11.01,78458.0,16.6,1429.0,Low,29.83
District_5,2016,Winter,3.71,40662.0,16.4,1525.0,High,2.0
District_3,2019,Winter,10.89,58893.0,14.8,541.0,High,20.41
District_12,2020,Spring,13.6,43550.0,14.1,4903.0,Low,69.79
District_8,2021,Winter,9.92,73657.0,11.7,4226.0,High,34.29
District_3,2024,Summer,7.25,70805.0,10.2,2274.0,Low,37.34
District_1,2017,Fall,12.85,34497.0,14.7,4757.0,Low,63.07
District_3,2016,Winter,12.39,61505.0,17.1,3547.0,Low,45.77
District_5,2018,Fall,9.53,23910.0,12.4,3882.0,High,49.67
District_15,2022,Winter,4.85,77791.0,11.0,3560.0,Low,30.03
District_14,2019,Summer,6.01,40939.0,10.7,3906.0,High,45.71
District_3,2022,Spring,11.86,69911.0,8.2,1269.0,High,42.52
District_1,2019,Summer,12.67,39106.0,13.2,3031.0,Low,60.49
District_5,2015,Spring,6.35,57966.0,17.9,4322.0,High,27.92
District_14,2018,Winter,7.42,79015.0,16.2,588.0,High,8.15
District_7,2024,Winter,3.93,72605.0,17.0,1055.0,High,4.15
District_9,2022,Spring,11.56,29622.0,14.2,1605.0,Low,52.74
District_15,2021,Summer,3.04,52849.0,12.8,1826.0,High,21.97
District_15,2020,Summer,3.56,40912.0,17.9,1322.0,High,20.34
District_10,2014,Spring,3.05,46060.0,12.5,3309.0,Low,29.76
District_13,2017,Winter,10.74,40111.0,17.2,1823.0,Low,34.62
District_19,2020,Spring,8.01,40158.0,15.6,1211.0,Low,35.67
District_7,2024,Winter,6.57,52553.0,11.3,4576.0,Low,35.16
District_17,2020,Spring,13.95,31518.0,13.0,3628.0,High,58.64
District_20,2019,Winter,5.31,52244.0,11.8,1607.0,High,18.41
District_4,2021,Spring,7.67,36738.0,9.4,2124.0,High,38.38
District_5,2024,Fall,14.28,37339.0,11.6,3834.0,Low,67.84
District_7,2019,Winter,8.13,64325.0,16.9,4059.0,High,23.8
District_13,2023,Summer,9.66,21776.0,15.5,1294.0,Low,43.14
District_15,2016,Spring,3.96,42857.0,10.8,4715.0,Low,46.46
District_11,2017,Summer,12.48,44452.0,11.7,4034.0,High,65.37
District_4,2016,Spring,8.07,49107.0,14.2,4356.0,Low,49.03
District_13,2014,Summer,12.61,60141.0,12.2,1147.0,High,39.84
District_7,2023,Summer,6.05,42181.0,13.0,1145.0,Low,42.16
District_19,2018,Spring,8.07,32788.0,15.0,1874.0,Low,35.9
District_2,2014,Spring,12.44,73092.0,12.7,791.0,Low,41.45
District_10,2014,Summer,14.69,78862.0,9.9,910.0,Low,45.61
District_13,2015,Summer,3.72,21201.0,13.2,1144.0,Low,43.19
District_6,2017,Summer,12.75,52788.0,11.6,3706.0,Low,65.1
District_12,2019,Winter,6.61,40502.0,10.9,636.0,Low,31.31
District_12,2021,Winter,9.61,36619.0,11.3,875.0,High,30.82
District_20,2016,Fall,6.48,40142.0,12.4,4749.0,Low,49.43
District_11,2014,Winter,10.36,58333.0,16.9,876.0,Low,34.8
District_7,2016,Winter,7.25,31443.0,15.3,2919.0,Low,40.64
District_1,2016,Spring,7.0,74772.0,14.7,3392.0,Low,35.61
District_1,2018,Fall,3.46,47967.0,12.7,4814.0,Low,29.87
District_20,2024,Fall,4.76,39535.0,8.0,4549.0,Low,42.39
District_13,2017,Winter,14.0,65932.0,11.4,2483.0,High,41.26
District_9,2017,Spring,14.98,20981.0,16.1,4740.0,Low,61.25
District_3,2022,Spring,12.37,45911.0,11.9,2445.0,Low,53.17
District_7,2020,Fall,6.44,41318.0,13.6,3515.0,High,44.32
District_6,2017,Spring,7.83,40293.0,10.0,1668.0,Low,47.71
District_8,2016,Summer,11.87,40224.0,17.2,3365.0,Low,46.53
District_9,2019,Winter,14.62,21876.0,17.2,2922.0,High,53.46
District_5,2016,Summer,8.47,29127.0,9.5,3231.0,High,53.86
District_1,2019,Fall,12.95,28513.0,15.2,3572.0,Low,61.9
District_19,2024,Fall,14.7,79317.0,8.8,1281.0,High,45.62
District_10,2024,Spring,13.48,21330.0,14.0,1856.0,High,39.19
District_12,2022,Spring,5.73,30024.0,9.8,3813.0,Low,43.6
District_15,2019,Fall,3.1,78450.0,9.5,1237.0,Low,15.31
District_9,2017,Fall,8.9,57695.0,8.0,2049.0,High,41.47
District_20,2018,Summer,9.38,47040.0,17.4,3499.0,Low,50.4
District_17,2019,Summer,5.42,24726.0,16.3,4719.0,Low,43.98
District_17,2024,Spring,6.42,60180.0,8.8,839.0,High,29.81
District_20,2016,Summer,12.18,28268.0,14.0,2825.0,Low,62.36
District_12,2021,Spring,8.64,60271.0,10.3,869.0,Low,47.04
District_7,2017,Spring,6.81,78751.0,10.6,2206.0,High,22.97
District_2,2021,Winter,10.47,51918.0,16.7,1289.0,Low,39.48
District_3,2023,Spring,10.83,32845.0,9.1,3422.0,Low,58.4
District_17,2023,Summer,12.23,57517.0,14.0,3910.0,High,45.8
District_5,2016,Fall,4.88,50776.0,12.0,1613.0,High,25.38
District_17,2023,Fall,11.9,51988.0,9.9,3708.0,Low,58.54
District_17,2020,Summer,10.19,48686.0,12.5,2511.0,High,45.47
District_17,2024,Fall,3.69,60424.0,17.4,1776.0,High,8.16
District_2,2022,Spring,12.33,54317.0,15.8,2855.0,High,27.87
District_2,2017,Fall,7.6,79220.0,9.3,2208.0,Low,36.94
District_5,2021,Summer,6.96,69552.0,16.5,1535.0,High,27.95
District_1,2016,Fall,8.38,35882.0,17.4,3906.0,Low,47.61
District_1,2020,Spring,7.15,63545.0,10.8,4089.0,Low,41.58
District_19,2016,Spring,7.06,32858.0,11.3,4101.0,Low,48.86
District_2,2020,Summer,12.7,66941.0,9.3,2220.0,Low,57.14
District_12,2024,Summer,4.49,28853.0,11.4,1263.0,Low,38.58
District_6,2023,Summer,14.65,48413.0,14.7,4282.0,Low,73.78
District_4,2023,Winter,9.66,67436.0,10.7,1982.0,Low,29.59
District_11,2024,Winter,5.2,36807.0,8.1,3866.0,High,37.43
District_17,2024,Spring,4.57,70227.0,11.4,4179.0,Low,36.92
District_6,2019,Winter,10.1,58649.0,12.5,3957.0,Low,52.88
District_5,2015,Winter,10.6,43851.0,13.7,2254.0,Low,49.32
District_20,2024,Fall,3.64,45405.0,14.8,4721.0,High,15.24
District_2,2016,Winter,5.92,75559.0,8.6,3471.0,High,23.17
District_6,2019,Fall,12.55,33067.0,12.7,3091.0,Low,53.07
District_11,2017,Summer,3.6,61602.0,10.7,3641.0,High,29.33
District_16,2019,Fall,13.26,62438.0,17.5,701.0,Low,45.7
District_16,2014,Fall,10.9,75347.0,11.6,2257.0,Low,53.4
District_1,2023,Summer,8.21,62790.0,9.0,4465.0,High,40.08
District_9,2014,Summer,7.16,55068.0,8.4,1225.0,High,47.54
District_6,2016,Spring,3.23,74151.0,10.7,2365.0,High,14.49
District_16,2021,Spring,12.9,69748.0,9.8,2324.0,High,36.26
District_3,2021,Spring,4.71,63007.0,14.5,2102.0,Low,33.61
District_20,2024,Spring,6.71,21955.0,16.5,3031.0,Low,40.75
District_4,2017,Fall,9.83,42411.0,11.1,4983.0,Low,68.09
District_19,2019,Fall,5.95,57913.0,13.8,1651.0,Low,27.45
District_3,2021,Spring,8.97,51335.0,15.3,3672.0,Low,45.35
District_19,2020,Winter,12.71,39159.0,12.0,3911.0,Low,59.01
District_20,2024,Spring,8.65,28665.0,8.7,3130.0,Low,47.82
District_7,2020,Winter,14.39,53180.0,10.3,939.0,Low,53.92
District_20,2017,Summer,13.17,37155.0,16.8,3076.0,Low,61.74
District_9,2022,Fall,7.0,33980.0,16.2,4791.0,Low,40.49
District_1,2023,Fall,7.8,43937.0,8.9,2039.0,High,41.48
District_8,2019,Winter,8.08,67129.0,10.2,3379.0,Low,36.04
District_7,2024,Spring,10.51,49271.0,15.7,4817.0,Low,57.6
District_18,2016,Fall,6.44,32990.0,12.9,4091.0,Low,42.06
District_8,2018,Winter,14.63,27014.0,15.6,3597.0,Low,47.46
District_1,2018,Summer,10.3,49939.0,10.1,4870.0,Low,60.57
District_11,2018,Summer,7.79,67662.0,17.5,1268.0,Low,35.0
District_18,2021,Fall,10.74,59169.0,15.8,3977.0,High,40.05
District_10,2022,Spring,7.74,33929.0,10.0,2331.0,High,37.96
District_3,2022,Winter,12.81,46202.0,13.6,2122.0,High,44.68
District_7,2019,Fall,9.81,71314.0,9.1,2843.0,High,37.72
District_16,2019,Summer,3.5,30659.0,11.6,652.0,Low,43.41
District_16,2022,Spring,5.12,51925.0,14.6,1906.0,High,25.26
District_20,2017,Winter,13.38,41374.0,11.3,1248.0,High,36.28
District_17,2019,Fall,9.75,27451.0,14.6,1124.0,Low,45.61
District_2,2017,Winter,14.4,22994.0,10.4,2018.0,Low,57.15
District_1,2024,Spring,3.87,53352.0,15.2,4110.0,High,27.92
District_16,2014,Spring,6.54,21245.0,11.6,1405.0,Low,45.68
District_12,2020,Summer,5.32,26207.0,15.9,2891.0,High,25.14
District_5,2023,Spring,9.65,40854.0,9.4,3869.0,High,49.12
District_5,2024,Fall,7.59,22611.0,11.6,1584.0,Low,45.76
District_9,2019,Winter,4.89,44027.0,12.6,4659.0,Low,35.91
District_9,2022,Spring,10.71,27822.0,12.2,4399.0,Low,56.9
District_3,2020,Spring,9.44,40992.0,12.3,1630.0,Low,47.52
District_19,2020,Fall,6.3,67470.0,12.4,4953.0,Low,47.48
District_16,2015,Winter,8.76,57582.0,17.9,3511.0,Low,33.46
District_16,2024,Winter,11.95,46724.0,9.9,1787.0,High,40.4
District_3,2022,Summer,5.46,25510.0,15.7,3565.0,Low,41.68
District_20,2023,Summer,6.51,57149.0,13.5,3498.0,Low,44.75
District_1,2022,Winter,7.15,29823.0,12.1,3228.0,Low,39.76
District_20,2019,Fall,11.96,24595.0,14.3,3703.0,Low,56.44
District_11,2016,Fall,13.16,59840.0,16.5,1707.0,Low,45.86
District_17,2014,Summer,7.52,74724.0,12.7,4905.0,High,34.98
District_8,2017,Spring,6.56,47636.0,16.6,4361.0,Low,41.85
District_4,2016,Fall,13.67,22460.0,8.9,3856.0,Low,78.17
District_6,2014,Spring,14.99,72818.0,14.5,618.0,Low,50.89
District_8,2016,Fall,11.04,24018.0,11.3,3157.0,Low,56.31
District_20,2017,Winter,14.88,72051.0,11.9,3679.0,Low,59.14
District_3,2021,Summer,10.92,43509.0,13.7,4343.0,Low,59.92
District_16,2022,Spring,11.8,41924.0,12.8,4758.0,High,52.44
District_3,2016,Spring,7.66,52568.0,11.8,4621.0,Low,50.12
District_18,2019,Winter,8.2,77425.0,11.1,2327.0,High,14.31
District_14,2023,Fall,4.73,73924.0,14.2,4534.0,High,25.66
District_18,2024,Spring,12.87,48220.0,13.1,503.0,Low,58.12
District_2,2018,Fall,14.17,61749.0,11.2,2082.0,Low,53.47
District_3,2019,Winter,10.48,54826.0,10.0,1012.0,Low,45.93
District_16,2017,Summer,7.12,61608.0,15.7,4474.0,Low,51.31
District_9,2023,Spring,4.85,69760.0,16.0,4676.0,Low,31.44
District_4,2019,Fall,6.18,22070.0,10.1,1652.0,High,32.49
District_1,2020,Spring,6.06,39546.0,10.6,2153.0,Low,34.28
District_4,2022,Fall,10.36,77560.0,10.4,4927.0,Low,58.41
District_1,2023,Fall,14.34,76960.0,16.8,3047.0,Low,46.88
District_14,2020,Fall,3.58,20673.0,15.7,2737.0,High,25.83
District_16,2019,Winter,3.01,32086.0,8.7,2752.0,Low,38.87
District_20,2014,Summer,10.2,79626.0,16.3,3633.0,Low,45.4
District_8,2015,Spring,6.41,49570.0,8.4,4795.0,Low,50.83
District_7,2014,Summer,13.57,54372.0,10.5,2150.0,Low,54.7
District_3,2022,Fall,6.93,29985.0,17.2,1277.0,High,25.17
District_17,2023,Fall,6.48,73660.0,16.6,1333.0,High,12.93
District_1,2023,Summer,6.23,33876.0,15.8,592.0,High,28.19
District_16,2022,Summer,4.74,31379.0,12.6,2999.0,Low,41.38
District_12,2020,Spring,9.98,33687.0,11.2,4681.0,Low,52.27
District_19,2015,Fall,5.02,75177.0,16.8,3709.0,Low,30.39
District_14,2019,Summer,8.1,62171.0,14.6,4968.0,Low,38.49
District_6,2024,Winter,8.53,66116.0,11.0,4593.0,Low,36.46
District_6,2017,Fall,3.25,42622.0,12.6,2713.0,High,34.58
District_13,2014,Fall,3.2,74551.0,16.8,2689.0,High,12.43
District_19,2014,Spring,9.24,67364.0,17.0,3328.0,Low,38.07
District_8,2018,Winter,11.35,65036.0,14.6,999.0,Low,36.39
District_2,2015,Spring,14.31,78256.0,15.3,3235.0,Low,58.2
District_1,2017,Winter,5.15,41972.0,8.4,2588.0,High,31.7
District_15,2014,Spring,4.24,56658.0,14.0,3392.0,High,22.49
District_1,2017,Winter,3.63,74596.0,14.9,3043.0,Low,18.67
District_5,2024,Winter,8.23,67453.0,8.2,1897.0,Low,37.46
District_16,2019,Winter,10.48,53803.0,16.4,3235.0,Low,39.27
District_19,2023,Summer,13.09,24573.0,17.3,2147.0,Low,57.94
District_4,2017,Fall,11.19,59163.0,10.4,1376.0,Low,51.45
District_3,2014,Winter,5.5,51593.0,16.5,3538.0,High,20.69
District_17,2020,Summer,8.54,31051.0,14.7,1879.0,Low,48.56
District_17,2015,Summer,13.92,72935.0,13.8,4501.0,Low,76.21
District_12,2022,Spring,6.92,40595.0,16.4,1397.0,High,33.09
District_14,2016,Fall,8.98,43249.0,10.9,3201.0,High,43.09
District_6,2021,Fall,14.5,60344.0,15.9,3072.0,High,51.89
District_3,2021,Spring,11.82,49328.0,11.1,1390.0,Low,46.38
District_9,2016,Fall,11.97,25357.0,15.9,2479.0,Low,53.43
District_5,2017,Spring,6.03,43246.0,12.5,3540.0,Low,44.93
District_17,2015,Summer,7.98,25668.0,9.2,1933.0,Low,60.29
District_14,2017,Summer,3.99,31445.0,11.8,1012.0,Low,31.89
District_3,2024,Winter,10.28,20430.0,10.3,3269.0,Low,46.4
District_1,2024,Spring,4.24,30879.0,9.0,1509.0,High,26.49
District_20,2024,Summer,13.03,39827.0,9.1,3567.0,Low,76.42
District_1,2022,Summer,12.77,52293.0,15.8,4278.0,Low,62.1
District_3,2015,Spring,9.4,75157.0,16.8,1055.0,Low,38.94
District_18,2016,Summer,4.69,52420.0,17.3,2469.0,High,23.8
District_10,2024,Fall,3.31,62336.0,16.5,2502.0,Low,29.13
District_3,2024,Summer,12.56,41461.0,16.3,3346.0,Low,54.06
District_8,2017,Spring,10.2,65098.0,8.7,2005.0,Low,43.89
District_14,2018,Fall,11.53,57228.0,15.9,2384.0,High,35.83
District_18,2014,Fall,6.65,47588.0,15.8,554.0,High,14.91
District_15,2020,Summer,9.11,31626.0,9.3,1051.0,Low,46.19
District_2,2023,Winter,11.97,38212.0,14.6,3064.0,Low,44.08
District_10,2020,Fall,8.55,57257.0,12.5,1472.0,Low,32.69
District_2,2022,Spring,10.22,45563.0,17.0,1151.0,Low,38.83
District_17,2017,Winter,12.48,73363.0,15.0,1960.0,Low,39.79
District_8,2019,Winter,5.58,34090.0,17.5,1236.0,Low,18.1
District_1,2024,Fall,3.79,24384.0,9.0,768.0,High,22.55
District_9,2015,Summer,9.38,55361.0,8.4,1777.0,High,40.41
District_11,2017,Winter,3.75,73163.0,17.7,1240.0,High,9.32
District_16,2015,Summer,12.2,41884.0,8.8,4097.0,High,58.51
District_7,2023,Fall,11.63,58863.0,11.9,782.0,High,47.02
District_10,2018,Spring,13.58,33885.0,14.5,3863.0,Low,57.9
District_3,2020,Winter,10.67,53508.0,16.8,2223.0,High,23.45
District_18,2014,Spring,3.81,67208.0,10.5,3539.0,Low,39.26
District_13,2023,Summer,6.04,72022.0,8.3,737.0,Low,25.61
District_7,2023,Summer,12.7,26307.0,13.2,4643.0,High,62.41
District_4,2020,Spring,5.01,41382.0,12.7,3953.0,High,28.99
District_13,2023,Fall,11.38,58379.0,11.1,1131.0,High,37.59
District_20,2019,Fall,12.36,22083.0,16.7,1485.0,High,38.63
District_1,2019,Winter,6.96,61437.0,15.5,3398.0,Low,32.84
District_8,2021,Winter,6.87,51682.0,16.6,4647.0,Low,24.54
District_14,2021,Fall,9.69,37314.0,9.6,2506.0,Low,47.82
District_16,2019,Fall,13.34,68879.0,14.9,2685.0,High,50.94
District_14,2016,Spring,5.69,37403.0,17.8,1570.0,Low,29.89
District_12,2018,Summer,14.3,79485.0,14.1,2224.0,Low,50.45
District_19,2015,Summer,10.19,68982.0,9.7,1787.0,High,41.08
District_15,2018,Winter,14.91,62479.0,18.0,2078.0,High,36.9
District_2,2022,Fall,4.08,23681.0,13.3,593.0,Low,30.62
District_2,2023,Spring,4.52,74259.0,16.4,685.0,High,9.25
District_19,2014,Winter,12.92,67403.0,9.5,3563.0,Low,47.43
District_17,2023,Spring,13.38,33742.0,14.7,3568.0,High,42.1
District_20,2018,Fall,8.35,43535.0,17.1,1986.0,High,18.81
District_10,2019,Fall,11.57,36118.0,13.3,4485.0,Low,54.48
District_6,2024,Fall,13.41,79065.0,10.9,1698.0,Low,57.44
District_15,2020,Summer,3.52,71252.0,9.3,2281.0,Low,33.55
District_11,2022,Fall,9.89,75814.0,11.0,3791.0,High,37.95
District_5,2019,Winter,13.24,67326.0,11.5,3846.0,Low,42.38
District_1,2018,Summer,7.78,47381.0,15.1,4375.0,Low,50.4
District_8,2020,Spring,6.63,32326.0,9.8,631.0,High,25.81
District_12,2014,Winter,12.55,32485.0,9.1,1327.0,High,36.75
District_12,2024,Winter,7.03,29101.0,11.9,3383.0,Low,35.52
District_5,2018,Spring,3.04,52799.0,12.6,2022.0,Low,24.25
District_7,2015,Summer,14.51,75198.0,14.3,696.0,High,41.6
District_4,2017,Winter,10.11,79508.0,15.1,3139.0,Low,34.52
District_6,2020,Winter,12.83,37238.0,16.9,2269.0,Low,32.11
District_13,2018,Winter,12.9,61839.0,10.9,2138.0,Low,37.1
District_20,2019,Summer,3.8,55826.0,13.3,1690.0,Low,30.26
District_15,2015,Summer,5.05,49336.0,11.7,527.0,Low,39.76
District_3,2016,Summer,6.73,59946.0,8.0,1321.0,High,26.71
District_8,2020,Winter,6.85,42282.0,13.8,2634.0,Low,34.79
District_20,2024,Fall,10.91,76669.0,16.2,1741.0,Low,48.11
District_16,2015,Spring,10.48,62327.0,8.4,4435.0,Low,54.45
District_13,2019,Fall,8.94,65252.0,8.0,1143.0,High,30.7
District_18,2018,Summer,5.54,34545.0,15.3,4439.0,High,39.38
District_10,2023,Winter,7.58,30115.0,14.8,2322.0,Low,34.11
District_19,2014,Winter,9.52,43660.0,12.1,1741.0,High,24.31
District_17,2024,Fall,8.62,66000.0,14.6,1869.0,Low,38.99
District_19,2023,Fall,4.53,76328.0,17.5,1985.0,Low,19.86
District_5,2024,Spring,10.79,45640.0,10.5,2780.0,Low,58.88
District_9,2017,Winter,3.88,66449.0,10.5,2092.0,Low,21.47
District_12,2024,Fall,7.54,48224.0,9.9,3412.0,High,39.1
District_1,2015,Spring,11.52,37714.0,15.2,2413.0,Low,57.47
District_1,2017,Summer,3.24,64356.0,11.5,3522.0,High,26.58
District_15,2014,Fall,9.84,67892.0,17.9,3220.0,Low,37.43
District_2,2015,Summer,7.01,32170.0,15.1,1600.0,High,29.5
District_16,2021,Spring,3.11,38310.0,11.7,4157.0,High,26.8
District_8,2019,Summer,5.28,49687.0,9.5,4095.0,Low,47.84
District_13,2015,Winter,14.29,31191.0,13.9,4950.0,Low,58.09
District_1,2019,Winter,9.25,75730.0,10.9,1288.0,High,23.44
District_16,2023,Summer,14.97,55480.0,17.1,4315.0,Low,65.6
District_7,2022,Winter,9.3,27272.0,12.4,4424.0,Low,44.7
District_5,2020,Spring,9.53,31042.0,10.9,3390.0,Low,52.46
District_3,2022,Winter,7.7,77261.0,13.9,2779.0,Low,25.67
District_12,2018,Summer,6.72,64290.0,9.4,4808.0,Low,49.79
District_16,2020,Summer,6.02,64064.0,13.6,4877.0,High,24.79
District_19,2024,Summer,7.12,24350.0,8.6,3388.0,Low,51.59
District_5,2020,Fall,8.52,73718.0,14.1,2118.0,High,31.6
District_14,2016,Summer,5.3,46624.0,13.3,4177.0,High,38.64
District_5,2020,Spring,5.7,59583.0,13.2,902.0,Low,32.46
District_15,2014,Winter,6.26,77581.0,14.8,1808.0,Low,23.72
District_17,2022,Winter,8.39,26001.0,8.4,4935.0,Low,48.01
District_14,2023,Fall,10.83,48937.0,12.6,4165.0,High,38.31
District_20,2019,Fall,13.27,22977.0,12.4,4728.0,High,54.9
District_5,2018,Spring,6.45,49973.0,12.6,3177.0,High,14.07
District_12,2020,Summer,5.2,35136.0,17.8,2335.0,High,32.66
District_16,2018,Fall,7.55,74664.0,9.4,4909.0,Low,49.02
